"Time","brega funk"
"2018-01-01",1
"2018-02-01",2
"2018-03-01",2
"2018-04-01",2
"2018-05-01",5
"2018-06-01",5
"2018-07-01",4
"2018-08-01",4
"2018-09-01",3
"2018-10-01",3
"2018-11-01",3
"2018-12-01",4
"2019-01-01",5
"2019-02-01",6
"2019-03-01",10
"2019-04-01",9
"2019-05-01",17
"2019-06-01",31
"2019-07-01",46
"2019-08-01",60
"2019-09-01",70
"2019-10-01",74
"2019-11-01",82
"2019-12-01",100
"2020-01-01",86
"2020-02-01",91
"2020-03-01",63
"2020-04-01",48
"2020-05-01",47
"2020-06-01",42
"2020-07-01",45
"2020-08-01",44
"2020-09-01",43
"2020-10-01",39
"2020-11-01",37
"2020-12-01",35
"2021-01-01",32
"2021-02-01",30
"2021-03-01",27
"2021-04-01",26
"2021-05-01",23
"2021-06-01",23
"2021-07-01",22
"2021-08-01",20
"2021-09-01",18
"2021-10-01",18
"2021-11-01",18
"2021-12-01",19
"2022-01-01",17
"2022-02-01",18
"2022-03-01",17
"2022-04-01",16
"2022-05-01",13
"2022-06-01",14
"2022-07-01",16
"2022-08-01",16
"2022-09-01",16
"2022-10-01",12
"2022-11-01",10
"2022-12-01",12
"2023-01-01",11
"2023-02-01",11
"2023-03-01",8
"2023-04-01",12
"2023-05-01",8
"2023-06-01",8
"2023-07-01",9
"2023-08-01",11
"2023-09-01",11
"2023-10-01",10
"2023-11-01",10
"2023-12-01",13
"2024-01-01",11
"2024-02-01",14
"2024-03-01",13
"2024-04-01",11
"2024-05-01",12
"2024-06-01",13
"2024-07-01",13
"2024-08-01",14
"2024-09-01",14
"2024-10-01",11
"2024-11-01",13
"2024-12-01",13
"2025-01-01",11
"2025-02-01",11
"2025-03-01",11
"2025-04-01",12
"2025-05-01",11
"2025-06-01",11
"2025-07-01",12
"2025-08-01",12
"2025-09-01",12
"2025-10-01",12
"2025-11-01",13
"2025-12-01",25
"2026-01-01",17
