week,rank,streams,weeks_on_chart,peak_rank
2018-02-08,38,1212796,1,38
2018-02-15,2,3695003,2,2
2018-02-22,2,3128907,3,2
2018-03-01,5,2533380,4,2
2018-03-08,6,2128549,5,2
2018-03-15,13,1830873,6,2
2018-03-22,25,1375539,7,2
2018-03-29,42,1117195,8,2
2018-04-05,50,974754,9,2
2018-04-12,55,896886,10,2
2018-04-19,63,848131,11,2
2018-04-26,110,626391,12,2
2018-05-03,100,643313,13,2
2018-05-10,132,503624,14,2
2018-05-17,150,455111,15,2
2018-05-24,168,418367,16,2
2018-05-31,141,474015,17,2
2018-06-07,160,425766,18,2
2018-06-14,175,418624,19,2
2018-06-21,178,389859,20,2
2018-06-28,173,406620,21,2
